activity,technology,uniquename
Assessment Meeting,Not Applyable,altargin
Events - Organization,Microsoft Azure - Active Directory,fabsanc
Events - Organization,Microsoft Azure - Analytics,fabsanc
Events - Organization,Microsoft Azure - Client-side Tech,fabsanc
Events - Organization,Microsoft Azure - Development Frameworks,fabsanc
Events - Organization,Microsoft Azure - Infra,fabsanc
Events - Organization,Microsoft Azure - IoT,fabsanc
Events - Organization,Microsoft Azure - Storage,fabsanc
Events - Organization,Microsoft Azure - Web & Mobile,fabsanc
External Communication,Microsoft Azure - Infra,fabsanc
Presentation,Bot Framework,fabsanc
Presentation,Machine Learning,fabsanc
Presentation,Microsoft Azure - Storage,fabsanc
Presentation,Microsoft Azure - Web & Mobile,fabsanc
Presentation,Microsoft Azure - Active Directory,fabsanc
Presentation,Microsoft Azure - Analytics,fabsanc
Presentation,Microsoft Azure - Client-side Tech,fabsanc
Presentation,Microsoft Azure - Development Frameworks,fabsanc
Presentation,Microsoft Azure - Infra,fabsanc
Presentation,Microsoft Azure - IoT,fabsanc
Coding - Internal Solution,Universal Apps,fabsanc
Coding - Internal Solution,Visual Studio,fabsanc
Coding - Internal Solution,Windows,fabsanc
Events - Organization,Bot Framework,fabioh
Events - Organization,Cognitive Services,fabioh
Events - Organization,Enterprise Mobility Suite (EMS),fabioh
Events - Organization,Machine Learning,fabioh
Events - Organization,Microsoft Azure - Active Directory,fabioh
Events - Organization,Microsoft Azure - Analytics,fabioh
Events - Organization,System Center,fabioh
Events - Organization,Universal Apps,fabioh
Events - Organization,Visual Studio,fabioh
Events - Organization,Visual Studio Team Services (VSTS),fabioh
Events - Organization,Windows,fabioh
Events - Organization,Windows Server,fabioh
Events - Organization,Microsoft Office (desktop version),fabioh
Events - Organization,Microsoft Project,fabioh
Events - Organization,Not Applyable,fabioh
Events - Organization,Office 365,fabioh
Events - Organization,Operations Management Suite (OMS),fabioh
Events - Organization,SQL Server,fabioh
Events - Organization,Microsoft Azure - Client-side Tech,fabioh
Events - Organization,Microsoft Azure - Development Frameworks,fabioh
Events - Organization,Microsoft Azure - Infra,fabioh
Events - Organization,Microsoft Azure - IoT,fabioh
Events - Organization,Microsoft Azure - Storage,fabioh
Events - Organization,Microsoft Azure - Web & Mobile,fabioh
Assessment Meeting,Not Applyable,cyzanon
Design Sessions,Microsoft Azure - Active Directory,visouza
Design Sessions,Microsoft Azure - Analytics,visouza
Design Sessions,Microsoft Azure - Client-side Tech,visouza
Design Sessions,Microsoft Azure - Development Frameworks,visouza
Design Sessions,Microsoft Azure - Infra,visouza
Design Sessions,Microsoft Azure - IoT,visouza
Design Sessions,Microsoft Azure - Storage,visouza
Design Sessions,Microsoft Azure - Web & Mobile,visouza
Design Sessions,Microsoft Office (desktop version),visouza
Events - Organization,Not Applyable,cyzanon
Coding - Build with ISVs,Microsoft Azure - Web & Mobile,altargin
Coding - Build with ISVs,Office 365,altargin
POC,Microsoft Azure - Infra,fabioh
POC,Microsoft Azure - Storage,fabioh
POC,SQL Server,fabioh
POC,Windows Server,fabioh
Building Demos,Microsoft Azure - Web & Mobile,cyzanon
POC,Microsoft Azure - Analytics,visouza
POC,Microsoft Azure - Infra,visouza
POC,Microsoft Azure - Storage,visouza
POC,Microsoft Azure - Web & Mobile,visouza
POC,SQL Server,visouza
Design Sessions,Microsoft Azure - Infra,altargin
Design Sessions,Microsoft Azure - Web & Mobile,altargin
Design Sessions,Windows Server,altargin
Events - Organization,Bot Framework,fabioh
Events - Organization,Cognitive Services,fabioh
Events - Organization,Enterprise Mobility Suite (EMS),fabioh
Events - Organization,Machine Learning,fabioh
Events - Organization,Microsoft Azure - Active Directory,fabioh
Events - Organization,Microsoft Azure - Analytics,fabioh
Events - Organization,System Center,fabioh
Events - Organization,Universal Apps,fabioh
Events - Organization,Visual Studio,fabioh
Events - Organization,Visual Studio Team Services (VSTS),fabioh
Events - Organization,Windows,fabioh
Events - Organization,Windows Server,fabioh
Events - Organization,Microsoft Office (desktop version),fabioh
Events - Organization,Microsoft Project,fabioh
Events - Organization,Not Applyable,fabioh
Events - Organization,Office 365,fabioh
Events - Organization,Operations Management Suite (OMS),fabioh
Events - Organization,SQL Server,fabioh
Events - Organization,Microsoft Azure - Client-side Tech,fabioh
Events - Organization,Microsoft Azure - Development Frameworks,fabioh
Events - Organization,Microsoft Azure - Infra,fabioh
Events - Organization,Microsoft Azure - IoT,fabioh
Events - Organization,Microsoft Azure - Storage,fabioh
Events - Organization,Microsoft Azure - Web & Mobile,fabioh
POC,Microsoft Azure - Infra,fabioh
POC,SQL Server,fabioh
Metric Management,Not Applyable,cyzanon
Customer Engagements,Microsoft Azure - Development Frameworks,fabsanc
Customer Engagements,Microsoft Azure - Infra,fabsanc
Customer Engagements,Microsoft Azure - Storage,fabsanc
Customer Engagements,Microsoft Azure - Web & Mobile,fabsanc
Internal Corp. Engagements,Not Applyable,cyzanon
Events - Content Delivery,Microsoft Azure - Development Frameworks,visouza
Events - Content Delivery,Microsoft Azure - Web & Mobile,visouza
Events - Content Delivery,Visual Studio,visouza
Events - Content Delivery,Windows,visouza
POC,Microsoft Azure - Development Frameworks,fabsanc
POC,Microsoft Azure - Infra,fabsanc
POC,Microsoft Azure - Storage,fabsanc
POC,Microsoft Azure - Web & Mobile,fabsanc
Events - Content Delivery,Microsoft Azure - Web & Mobile,cyzanon
POC,Microsoft Azure - Infra,fabsanc
POC,Microsoft Azure - Storage,fabsanc
POC,Microsoft Azure - Web & Mobile,fabsanc
Customer Engagements,Microsoft Azure - Web & Mobile,altargin
Coding - Internal Solution,Microsoft Azure - Web & Mobile,altargin
Coding - Internal Solution,Visual Studio,altargin
Coding - Internal Solution,Visual Studio Team Services (VSTS),altargin
Customer Engagements,Office 365,cyzanon
Assessment Meeting,Bot Framework,visouza
Assessment Meeting,Machine Learning,visouza
Assessment Meeting,Microsoft Azure - IoT,visouza
Assessment Meeting,Microsoft Azure - Web & Mobile,visouza
Coding - Internal Solution,Universal Apps,fabsanc
Coding - Internal Solution,Visual Studio,fabsanc
Coding - Internal Solution,Windows,fabsanc
Design Sessions,Bot Framework,visouza
Design Sessions,Cognitive Services,visouza
Design Sessions,Microsoft Azure - Active Directory,visouza
Design Sessions,Microsoft Azure - Analytics,visouza
Design Sessions,Microsoft Azure - Client-side Tech,visouza
Design Sessions,Microsoft Azure - Development Frameworks,visouza
Design Sessions,Microsoft Azure - Infra,visouza
Design Sessions,Microsoft Azure - IoT,visouza
Design Sessions,Microsoft Azure - Storage,visouza
Design Sessions,Microsoft Azure - Web & Mobile,visouza
Design Sessions,SQL Server,visouza
Metric Management,Not Applyable,cyzanon
Pilots,Not Applyable,cyzanon
Preparation Presentation,Microsoft Azure - Active Directory,visouza
Preparation Presentation,Microsoft Azure - Development Frameworks,visouza
Preparation Presentation,Microsoft Azure - Infra,visouza
Preparation Presentation,Microsoft Azure - IoT,visouza
Preparation Presentation,Microsoft Azure - Storage,visouza
Preparation Presentation,Microsoft Azure - Web & Mobile,visouza
POC,Microsoft Azure - Infra,fabsanc
POC,Microsoft Azure - IoT,fabsanc
POC,Microsoft Azure - Storage,fabsanc
POC,Microsoft Azure - Web & Mobile,fabsanc
Hackatons,Machine Learning,altargin
POC,Microsoft Azure - Infra,fabsanc
POC,Microsoft Azure - Storage,fabsanc
